trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,30.322234799998114,30.322234799998114,0.040662799998244736,[-0.028703703703703703],[-0.20092592592592592],[1],[0],[0],[1.8978286999990814],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
1,0,1,0,5,32.23598959999799,32.23598959999799,0.02086779999808641,[-0.025],[-0.2537037037037037],[1],[0],[0],[1.3562530999988667],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
2,0,2,0,5,33.61178459999792,33.61178459999792,0.016233600006671622,[-0.09166666666666666],[-0.125],[1],[0],[0],[1.131055899997591],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
3,0,3,0,10,34.77900979999686,34.77900979999686,0.0303016000034404,[-0.4444444444444444],[0.4888888888888889],[1],[0],[0],[3.5820487000019057],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
4,0,4,0,10,38.39481369999703,38.39481369999703,0.0301298999984283,[-0.2101851851851852],[0.44351851851851853],[1],[0],[0],[1.465945299998566],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
5,0,5,0,10,39.89554340000177,39.89554340000177,0.03130349999992177,[0.23148148148148148],[-0.17592592592592593],[1],[0],[0],[2.0828554000036092],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
6,0,6,0,5,41.99597779999749,41.99597779999749,0.01648900000145659,[-0.44722222222222224],[-0.2037037037037037],[1],[0],[0],[2.1283648000026005],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
7,0,7,0,10,44.160198099998524,44.160198099998524,0.03130899999814574,[0.4601851851851852],[-0.3287037037037037],[1],[0],[0],[2.6165239000038127],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
8,0,8,0,10,46.81033519999619,46.81033519999619,0.030820100000710227,[0.22314814814814815],[0.05185185185185185],[1],[0],[0],[1.550896599997941],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
9,0,9,0,10,48.39504719999968,48.39504719999968,0.030590800000936724,[-0.21574074074074073],[0.3592592592592593],[1],[0],[0],[2.3500044000029447],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
10,0,10,0,5,50.76611419999972,50.76611419999972,0.01739639999868814,[0.03888888888888889],[0.14907407407407408],[1],[0],[0],[1.5590379999994184],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
11,0,11,0,5,52.34530819999782,52.34530819999782,0.016974599995592143,[-0.12777777777777777],[-0.24074074074074073],[1],[0],[0],[1.9630238999961875],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
12,0,12,0,5,54.32724839999719,54.32724839999719,0.016014000000723172,[0.38981481481481484],[-0.022222222222222223],[1],[0],[0],[1.6980197000011685],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
13,0,13,0,10,56.065431199996965,56.065431199996965,0.035497600001690444,[0.06574074074074074],[0.16666666666666666],[1],[0],[0],[1.4111868999971193],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
14,0,14,0,10,57.52455789999658,57.52455789999658,0.03923609999765176,[0.43703703703703706],[0.13425925925925927],[1],[0],[0],[1.9386727999954019],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
15,0,15,0,5,59.480122900000424,59.480122900000424,0.016096499995910563,[-0.1259259259259259],[0.3648148148148148],[1],[0],[0],[1.9799218000043766],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
16,0,16,0,5,61.480194399999164,61.480194399999164,0.016879999995580874,[-0.11666666666666667],[0.03888888888888889],[1],[0],[0],[1.9614074999990407],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
17,0,17,0,10,63.477042400001665,63.477042400001665,0.030793000005360227,[-0.36203703703703705],[0.2722222222222222],[1],[0],[0],[1.9989244000025792],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
18,0,18,0,5,65.49421920000168,65.49421920000168,0.016852100001415238,[0.4962962962962963],[-0.10092592592592593],[1],[0],[0],[2.347200199998042],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
19,0,19,0,5,67.85985269999946,67.85985269999946,0.015439399998285808,[0.28888888888888886],[0.43148148148148147],[1],[0],[0],[2.1151759999993374],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
20,0,20,0,5,69.99533279999741,69.99533279999741,0.017427999999199528,[0.2824074074074074],[0.12777777777777777],[1],[0],[0],[1.5301472999999532],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
21,0,21,0,10,71.55988729999808,71.55988729999808,0.02999679999629734,[0.44166666666666665],[-0.010185185185185186],[1],[0],[0],[1.8158633999992162],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
22,0,22,0,5,73.3951517999958,73.3951517999958,0.01740349999454338,[-0.11296296296296296],[0.4564814814814815],[1],[0],[0],[1.8799089000021922],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
23,0,23,0,10,75.30955489999906,75.30955489999906,0.030157500004861504,[0.36574074074074076],[0.17314814814814813],[1],[0],[0],[1.8010732000038843],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
24,0,24,0,5,77.13710849999916,77.13710849999916,0.02200489999813726,[0.027777777777777776],[0.08981481481481482],[1],[0],[0],[1.7706091000000015],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
25,0,25,0,10,78.94362890000048,78.94362890000048,0.030690400002640672,[0.20555555555555555],[0.11018518518518519],[1],[0],[0],[1.6163602999949944],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
26,0,26,0,10,80.59386619999714,80.59386619999714,0.030571699993743096,[-0.38981481481481484],[-0.42777777777777776],[1],[0],[0],[2.0670748999982607],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
27,0,27,0,10,82.69517379999888,82.69517379999888,0.03102950000175042,[0.062037037037037036],[0.29814814814814816],[1],[0],[0],[2.0814873999988777],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
28,0,28,0,10,84.81035949999932,84.81035949999932,0.03121409999585012,[0.19814814814814816],[-0.07962962962962963],[1],[0],[0],[1.6833683000004385],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
29,0,29,0,10,86.52719909999723,86.52719909999723,0.02910379999957513,[-0.09351851851851851],[0.15648148148148147],[1],[0],[0],[1.5841242999958922],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
30,0,30,0,5,88.12839530000201,88.12839530000201,0.017144700002972968,[-0.36574074074074076],[-0.25092592592592594],[1],[0],[0],[2.0631322000044747],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
31,0,31,0,10,90.22905470000114,90.22905470000114,0.031147800000326242,[-0.30925925925925923],[0.3287037037037037],[1],[0],[0],[2.116269399994053],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
32,0,32,0,5,92.36153589999594,92.36153589999594,0.01650119999976596,[-0.08518518518518518],[0.4148148148148148],[1],[0],[0],[2.0291377999965334],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
33,0,33,0,10,94.42563119999977,94.42563119999977,0.03073009999934584,[-0.12129629629629629],[0.15648148148148147],[1],[0],[0],[1.6508055000012973],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
34,0,34,0,10,96.10889260000113,96.10889260000113,0.029136699995433446,[0.03981481481481482],[0.21296296296296297],[1],[0],[0],[1.550184600004286],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
35,0,35,0,5,97.67719280000165,97.67719280000165,0.01676189999852795,[0.07962962962962963],[0.23796296296296296],[1],[0],[0],[1.6804583999983151],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
36,0,36,0,5,99.38283290000254,99.38283290000254,0.020019700001284946,[0.4675925925925926],[-0.23148148148148148],[1],[0],[0],[2.2261206999974092],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
37,0,37,0,10,101.641964800001,101.641964800001,0.030128300000797026,[0.30277777777777776],[-0.26666666666666666],[1],[0],[0],[1.6341575000042212],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
38,0,38,0,10,103.30952070000058,103.30952070000058,0.030324599996674806,[-0.23981481481481481],[0.03425925925925926],[1],[0],[0],[2.1163318999970215],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
39,0,39,0,10,105.45875920000253,105.45875920000253,0.029441700004099403,[-0.45555555555555555],[0.07685185185185185],[1],[0],[0],[1.333903899998404],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
40,0,40,0,5,106.81124229999841,106.81124229999841,0.017058500001439825,[-0.03333333333333333],[-0.3490740740740741],[1],[0],[0],[2.062196799997764],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
41,0,41,0,5,108.89369209999859,108.89369209999859,0.016979599997284822,[0.1962962962962963],[0.12777777777777777],[1],[0],[0],[1.8820081000012578],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
42,0,42,0,5,110.79517540000234,110.79517540000234,0.016672199999447912,[-0.4027777777777778],[-0.43703703703703706],[1],[0],[0],[1.8954481999971904],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
43,0,43,0,10,112.72387300000264,112.72387300000264,0.028391400002874434,[-0.049074074074074076],[-0.13333333333333333],[1],[0],[0],[1.8517111000037403],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
44,0,44,0,5,114.59402650000266,114.59402650000266,0.016715199999453034,[0.1175925925925926],[-0.19814814814814816],[1],[0],[0],[1.3470209000006435],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
45,0,45,0,10,115.97515140000178,115.97515140000178,0.029753000002529006,[0.40370370370370373],[-0.4564814814814815],[1],[0],[0],[1.850559799997427],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
46,0,46,0,5,117.84388310000213,117.84388310000213,0.01652450000256067,[0.2490740740740741],[-0.45092592592592595],[1],[0],[0],[1.329621999997471],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
47,0,47,0,10,119.20827219999774,119.20827219999774,0.03008140000019921,[-0.4222222222222222],[-0.25],[1],[0],[0],[1.5686292999962461],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
48,0,48,0,10,120.8124955999956,120.8124955999956,0.03238309999869671,[0.41944444444444445],[-0.18703703703703703],[1],[0],[0],[1.6132333999994444],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
49,0,49,0,5,122.44448259999626,122.44448259999626,0.017472699997597374,[0.001851851851851852],[-0.4777777777777778],[1],[0],[0],[2.2620556999972905],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
50,0,50,0,5,124.72640390000015,124.72640390000015,0.016957200001343153,[-0.009259259259259259],[0.26296296296296295],[1],[0],[0],[1.6465683999995235],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
51,0,51,0,5,126.39285519999976,126.39285519999976,0.016768399997090455,[-0.1],[0.49444444444444446],[1],[0],[0],[1.581701000002795],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
52,0,52,0,10,128.00944300000265,128.00944300000265,0.029620299996167887,[0.3296296296296296],[-0.17222222222222222],[1],[0],[0],[1.6322461000017938],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
53,0,53,0,5,129.65905309999653,129.65905309999653,0.016547800005355384,[0.15555555555555556],[0.10092592592592593],[1],[0],[0],[1.5317932999969344],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
54,0,54,0,10,131.22639889999846,131.22639889999846,0.030542499996954575,[0.4787037037037037],[-0.03425925925925926],[1],[0],[0],[1.500051999995776],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
55,0,55,0,5,132.74760719999904,132.74760719999904,0.019894199998816475,[0.016666666666666666],[0.04814814814814815],[1],[0],[0],[1.4935144999981276],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
56,0,56,0,5,134.2631035000013,134.2631035000013,0.016559900002903305,[-0.36574074074074076],[-0.06018518518518518],[1],[0],[0],[1.4103765999971074],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
57,0,57,0,10,135.71010699999897,135.71010699999897,0.03172070000437088,[0.49907407407407406],[-0.020370370370370372],[1],[0],[0],[1.8484567000050447],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
58,0,58,0,5,137.57516749999922,137.57516749999922,0.014754900003026705,[0.3138888888888889],[-0.36944444444444446],[1],[0],[0],[1.5482504000028712],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
59,0,59,0,5,139.14285849999578,139.14285849999578,0.01652050000120653,[-0.3351851851851852],[-0.2111111111111111],[1],[0],[0],[1.6965660999994725],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
60,0,60,0,10,140.87496049999754,140.87496049999754,0.03026230000250507,[-0.5018518518518519],[-0.08333333333333333],[1],[0],[0],[1.5497214999995776],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
61,0,61,0,10,142.46067349999794,142.46067349999794,0.031848500002524815,[-0.10740740740740741],[-0.21481481481481482],[1],[0],[0],[1.5153759000022546],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
62,0,62,0,10,144.01255289999972,144.01255289999972,0.03296129999944242,[0.14814814814814814],[-0.44166666666666665],[1],[0],[0],[2.0461819999982254],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
63,0,63,0,10,146.09262570000283,146.09262570000283,0.03039340000395896,[0.2675925925925926],[-0.1175925925925926],[1],[0],[0],[1.3659646999949473],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
64,0,64,0,5,147.47595259999798,147.47595259999798,0.01592059999529738,[0.37407407407407406],[-0.15462962962962962],[1],[0],[0],[3.5309300999942934],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
65,0,65,0,5,151.0260821999982,151.0260821999982,0.016110100004880223,[0.037037037037037035],[-0.4638888888888889],[1],[0],[0],[2.1306331000014325],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
66,0,66,0,10,153.19210519999615,153.19210519999615,0.030878899997333065,[0.4361111111111111],[0.29907407407407405],[1],[0],[0],[1.632487199996831],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
67,0,67,0,5,154.84818670000095,154.84818670000095,0.021977699994749855,[0.2361111111111111],[-0.4861111111111111],[1],[0],[0],[2.2586535999944317],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
68,0,68,0,5,157.12691089999862,157.12691089999862,0.01680829999531852,[-0.004629629629629629],[0.2462962962962963],[1],[0],[0],[1.5631861000001663],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
69,0,69,0,5,158.7094083999982,158.7094083999982,0.016329200007021427,[-0.12962962962962962],[-0.487962962962963],[1],[0],[0],[1.7140225000039209],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
70,0,70,0,5,160.44244810000237,160.44244810000237,0.015625300002284348,[-0.058333333333333334],[-0.24074074074074073],[1],[0],[0],[1.4978231999994023],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
71,0,71,0,10,161.97649500000261,161.97649500000261,0.03084320000198204,[-0.36574074074074076],[0.17407407407407408],[1],[0],[0],[1.398427799998899],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
72,0,72,0,10,163.40785940000205,163.40785940000205,0.029917500003648456,[-0.037037037037037035],[-0.30185185185185187],[1],[0],[0],[2.116986300003191],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
73,0,73,0,5,165.54345849999663,165.54345849999663,0.016998699997202493,[-0.2657407407407407],[-0.2712962962962963],[1],[0],[0],[1.67892739999661],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
74,0,74,0,5,167.24489059999905,167.24489059999905,0.01752719999785768,[0.12129629629629629],[-0.22407407407407406],[1],[0],[0],[1.5133484000034514],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
75,0,75,0,10,168.79177509999863,168.79177509999863,0.030269599999883212,[-0.40185185185185185],[-0.47129629629629627],[1],[0],[0],[2.666579200005799],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
76,0,76,0,5,171.47645229999762,171.47645229999762,0.017143700002634432,[0.3277777777777778],[0.07962962962962963],[1],[0],[0],[1.7636875000025611],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
77,0,77,0,10,173.28261019999627,173.28261019999627,0.03346840000449447,[-0.36944444444444446],[0.06111111111111111],[1],[0],[0],[1.926533500001824],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
78,0,78,0,10,175.24773750000168,175.24773750000168,0.036080400001083035,[0.14351851851851852],[-0.125],[1],[0],[0],[1.994053199996415],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
79,0,79,0,10,177.2801260999986,177.2801260999986,0.03277179999713553,[0.4398148148148148],[-0.2657407407407407],[1],[0],[0],[1.661391099994944],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
80,0,80,0,5,178.9625750999985,178.9625750999985,0.020003500001621433,[-0.049074074074074076],[-0.4888888888888889],[1],[0],[0],[1.6606726000027265],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
81,0,81,0,10,180.66343999999663,180.66343999999663,0.03416090000246186,[-0.25277777777777777],[-0.032407407407407406],[1],[0],[0],[1.4448296999980812],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
82,0,82,0,5,182.12971619999735,182.12971619999735,0.018481999999494292,[0.09907407407407408],[-0.17777777777777778],[1],[0],[0],[1.5090483000021777],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
83,0,83,0,5,183.6591122000027,183.6591122000027,0.016649699995468836,[0.13055555555555556],[0.42592592592592593],[1],[0],[0],[1.4470977999953902],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
84,0,84,0,10,185.1451362000007,185.1451362000007,0.03394039999693632,[-0.29444444444444445],[-0.1574074074074074],[1],[0],[0],[1.763046200001554],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
85,0,85,0,5,186.92666369999642,186.92666369999642,0.017125900005339645,[0.48055555555555557],[0.36018518518518516],[1],[0],[0],[2.3955205000020214],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
86,0,86,0,5,189.34119449999707,189.34119449999707,0.01624450000235811,[-0.08333333333333333],[0.25092592592592594],[1],[0],[0],[1.614805700002762],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
87,0,87,0,10,190.99919650000083,190.99919650000083,0.03546530000312487,[0.3111111111111111],[0.22314814814814815],[1],[0],[0],[1.8276975999979186],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
88,0,88,0,10,192.8589609999981,192.8589609999981,0.03095249999751104,[-0.31574074074074077],[0.42777777777777776],[1],[0],[0],[1.649346099999093],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
89,0,89,0,5,194.52616280000075,194.52616280000075,0.016690399999788497,[-0.4675925925925926],[-0.48518518518518516],[1],[0],[0],[1.9645407999996678],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
90,0,90,0,10,196.5278393999979,196.5278393999979,0.03252210000209743,[-0.49537037037037035],[0.2759259259259259],[1],[0],[0],[1.5464603000000352],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
91,0,91,0,5,198.0982851000008,198.0982851000008,0.01949909999530064,[-0.4935185185185185],[-0.3],[1],[0],[0],[2.9251688000003924],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
92,0,92,0,10,201.05996739999682,201.05996739999682,0.03215759999875445,[0.1259259259259259],[0.075],[1],[0],[0],[2.714073900002404],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
93,0,93,0,5,203.80164639999566,203.80164639999566,0.022269900000537746,[0.2361111111111111],[-0.024074074074074074],[1],[0],[0],[1.2550217999960296],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
94,0,94,0,5,205.07594619999873,205.07594619999873,0.015877800004091114,[-0.3194444444444444],[-0.3592592592592593],[1],[0],[0],[1.7962122999961139],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
95,0,95,0,10,206.9060415999993,206.9060415999993,0.028621400000702124,[-0.05740740740740741],[0.21851851851851853],[1],[0],[0],[1.6184591999990516],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
96,0,96,0,5,208.54268089999823,208.54268089999823,0.016628099998342805,[0.16296296296296298],[0.37222222222222223],[1],[0],[0],[1.8314070000051288],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
97,0,97,0,10,210.41066480000154,210.41066480000154,0.03023360000224784,[-0.2101851851851852],[0.16018518518518518],[1],[0],[0],[1.4649990999969305],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
98,0,98,0,10,211.90933829999994,211.90933829999994,0.031395800004247576,[-0.3101851851851852],[0.037037037037037035],[1],[0],[0],[1.5657554999997956],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
